City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Abbotsford-Mission, British Columbia",32000,15500,43700,43700,2800,11000,4600,115100,15400,23500,10400,0,46100,123600,24700,19800,45800,139500,17900,14600,93800,34900,10800,100400,89700,7700,111000
"Barrie, Ontario",37000,14700,43400,43900,0,12600,0,114000,19800,32500,13900,0,46900,146600,32800,30900,44600,141700,22500,22300,97400,44800,13400,103300,88300,8100,111600
"Brantford, Ontario",26500,11800,25900,35400,2600,4200,4400,81000,18900,25400,8500,0,30000,101000,24600,21700,38000,103800,13100,14400,71300,20300,8000,77600,60100,5900,82200
"Calgary, Alberta",181500,108000,262300,413300,15500,65400,20300,913300,111100,167700,51100,25400,343500,1016200,218200,160300,459200,1121600,93500,108700,858100,265200,82400,907000,682400,45300,802600
"Edmonton, Alberta",217600,114500,265000,393900,18200,56700,32700,842700,150800,221500,63000,22600,328000,912700,214100,172100,403900,1054100,106900,114500,747900,241300,74000,831600,611000,44600,767200
"Greater Sudbury, Ontario",35500,12300,39400,41900,2200,4800,7400,91700,25400,31900,13000,0,35600,113800,29300,32800,47900,122500,14800,21700,82900,28900,13800,88700,69100,5500,97000
"Guelph, Ontario",20600,9300,30000,40700,0,6300,0,92200,13900,19300,6800,0,37800,118500,19000,22200,39400,111100,16900,14500,78700,33000,10000,82300,71700,4800,79500
"Halifax, Nova Scotia",73900,35700,95200,113200,7800,16800,9900,280600,44100,61500,28300,0,87700,315500,85700,56200,175000,327800,36700,38200,231000,71800,27600,245800,206300,15000,257900
"Hamilton, Ontario",159700,50100,147900,217100,12200,25100,15100,468600,81300,118000,45800,0,164800,617800,129500,127000,199600,587000,69900,69800,398700,141000,44100,455100,369100,25700,460200
"Kelowna, British Columbia",39700,12100,31600,54000,0,4700,3500,127900,16400,25800,8900,0,47100,132000,33200,27100,47600,146200,17800,14200,96500,29700,9200,109900,95400,8000,109400
