City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Abbotsford-Mission, British Columbia",17.39%,8.42%,23.75%,23.75%,1.52%,5.98%,2.50%,62.55%,8.37%,12.77%,5.65%,0.00%,25.05%,67.17%,13.42%,10.76%,24.89%,75.81%,9.73%,7.93%,50.97%,18.97%,5.87%,54.56%,48.74%,4.18%,60.32%
"Barrie, Ontario",18.29%,7.27%,21.46%,21.70%,0.00%,6.23%,0.00%,56.36%,9.79%,16.07%,6.87%,0.00%,23.19%,72.48%,16.22%,15.28%,22.05%,70.06%,11.12%,11.03%,48.15%,22.15%,6.63%,51.07%,43.66%,4.00%,55.18%
"Brantford, Ontario",18.39%,8.19%,17.97%,24.56%,1.80%,2.91%,3.05%,56.21%,13.12%,17.63%,5.90%,0.00%,20.82%,70.09%,17.07%,15.06%,26.37%,72.03%,9.09%,9.99%,49.48%,14.09%,5.55%,53.85%,41.70%,4.09%,57.04%
"Calgary, Alberta",12.67%,7.54%,18.31%,28.86%,1.08%,4.57%,1.42%,63.77%,7.76%,11.71%,3.57%,1.77%,23.98%,70.96%,15.24%,11.19%,32.06%,78.31%,6.53%,7.59%,59.92%,18.52%,5.75%,63.33%,47.65%,3.16%,56.04%
"Edmonton, Alberta",16.02%,8.43%,19.51%,29.00%,1.34%,4.17%,2.41%,62.04%,11.10%,16.31%,4.64%,1.66%,24.15%,67.19%,15.76%,12.67%,29.73%,77.60%,7.87%,8.43%,55.06%,17.76%,5.45%,61.22%,44.98%,3.28%,56.48%
"Greater Sudbury, Ontario",21.48%,7.44%,23.84%,25.35%,1.33%,2.90%,4.48%,55.49%,15.37%,19.30%,7.87%,0.00%,21.54%,68.86%,17.73%,19.85%,28.98%,74.13%,8.96%,13.13%,50.16%,17.49%,8.35%,53.67%,41.81%,3.33%,58.70%
"Guelph, Ontario",13.44%,6.07%,19.57%,26.55%,0.00%,4.11%,0.00%,60.15%,9.07%,12.59%,4.44%,0.00%,24.66%,77.30%,12.39%,14.48%,25.70%,72.48%,11.02%,9.46%,51.34%,21.53%,6.52%,53.69%,46.77%,3.13%,51.86%
"Halifax, Nova Scotia",17.73%,8.56%,22.84%,27.16%,1.87%,4.03%,2.38%,67.32%,10.58%,14.75%,6.79%,0.00%,21.04%,75.69%,20.56%,13.48%,41.98%,78.64%,8.80%,9.16%,55.42%,17.23%,6.62%,58.97%,49.49%,3.60%,61.87%
"Hamilton, Ontario",20.74%,6.51%,19.21%,28.20%,1.58%,3.26%,1.96%,60.87%,10.56%,15.33%,5.95%,0.00%,21.41%,80.25%,16.82%,16.50%,25.93%,76.25%,9.08%,9.07%,51.79%,18.32%,5.73%,59.12%,47.94%,3.34%,59.78%
"Kelowna, British Columbia",20.33%,6.20%,16.18%,27.65%,0.00%,2.41%,1.79%,65.49%,8.40%,13.21%,4.56%,0.00%,24.12%,67.59%,17.00%,13.88%,24.37%,74.86%,9.11%,7.27%,49.41%,15.21%,4.71%,56.27%,48.85%,4.10%,56.01%
