X,Y,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId
-79.3928528,43.6850281,1,111878,2004,D53,Other,2004-01-03T05:00:00.000Z,98,Rosedale-Moore Park (98),43.6850281,-79.3928528,1
-79.2349625,43.7815361,2,125755,2004,D42,Shooting,2004-01-08T05:00:00.000Z,137,Woburn (137),43.7815361,-79.2349625,2
-79.206893900000011,43.8108597,3,136086,2004,D42,Shooting,2004-01-08T05:00:00.000Z,132,Malvern (132),43.8108597,-79.2068939,3
-79.4344025,43.670475,4,148623,2004,D13,Shooting,2004-01-25T05:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.670475,-79.4344025,4
-79.203865100000016,43.8235435,5,148619,2004,D42,Shooting,2004-01-25T05:00:00.000Z,131,Rouge (131),43.8235435,-79.2038651,5
-79.5086365,43.720916699999982,6,152518,2004,D31,Stabbing,2004-02-20T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7209167,-79.5086365,6
-79.5089798,43.7223663,7,172092,2004,D31,Shooting,2004-02-21T05:00:00.000Z,26,Downsview-Roding-CFB (26),43.7223663,-79.5089798,7
-79.592865,43.7431145,8,133635,2004,D23,Other,2004-02-21T05:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7431145,-79.592865,8
-79.2276001,43.816268899999983,10,218803,2004,D42,Shooting,2004-03-03T05:00:00.000Z,131,Rouge (131),43.8162689,-79.2276001,9
-79.286727900000017,43.7000847,11,200779,2004,D41,Shooting,2004-03-04T05:00:00.000Z,120,Clairlea-Birchmount (120),43.7000847,-79.2867279,10
-79.2665024,43.8080292,12,218585,2004,D42,Shooting,2004-03-03T05:00:00.000Z,129,Agincourt North (129),43.8080292,-79.2665024,11
-79.241806,43.7664719,13,229133,2004,D41,Stabbing,2004-03-13T05:00:00.000Z,137,Woburn (137),43.7664719,-79.241806,12
-79.427459699999986,43.7096062,14,219659,2004,D53,Other,2004-03-18T05:00:00.000Z,39,Bedford Park-Nortown (39),43.7096062,-79.4274597,13
-79.2253265,43.7598267,15,219687,2004,D42,Other,2004-03-24T05:00:00.000Z,137,Woburn (137),43.7598267,-79.2253265,14
-79.3710327,43.6582947,16,256410,2004,D51,Other,2004-04-01T05:00:00.000Z,73,Moss Park (73),43.6582947,-79.3710327,15
-79.5505676,43.7250977,17,250857,2004,D23,Shooting,2004-04-13T04:00:00.000Z,5,Elms-Old Rexdale (5),43.7250977,-79.5505676,16
-79.579879800000015,43.7350807,18,350484,2004,D23,Shooting,2004-05-01T04:00:00.000Z,2,Mount Olive-Silverstone-Jamestown (2),43.7350807,-79.5798798,17
-79.3287811,43.6959457,19,301868,2004,D54,Shooting,2004-03-03T05:00:00.000Z,58,Old East York (58),43.6959457,-79.3287811,18
-79.5187607,43.769165,20,311851,2004,D31,Shooting,2004-05-15T04:00:00.000Z,24,Black Creek (24),43.769165,-79.5187607,19
-79.5441437,43.5943146,21,311870,2004,D22,Stabbing,2004-05-19T04:00:00.000Z,20,Alderwood (20),43.5943146,-79.5441437,20
-79.362999,43.6600876,22,374867,2004,D51,Shooting,2004-05-21T04:00:00.000Z,72,Regent Park (72),43.6600876,-79.362999,21
-79.5783081,43.735508,23,408720,2004,D23,Other,2004-05-21T04:00:00.000Z,3,Thistletown-Beaumond Heights (3),43.735508,-79.5783081,22
-79.4570465,43.710166899999976,24,374908,2004,D13,Other,2004-05-20T04:00:00.000Z,31,Yorkdale-Glen Park (31),43.7101669,-79.4570465,23
-79.4387512,43.6424637,25,418221,2004,D11,Other,2004-05-25T04:00:00.000Z,86,Roncesvalles (86),43.6424637,-79.4387512,24
-79.374847399999979,43.660656,26,456650,2004,D51,Other,2004-06-01T04:00:00.000Z,73,Moss Park (73),43.660656,-79.3748474,25
-79.4281311,43.6359825,27,455137,2004,D14,Shooting,2004-06-04T04:00:00.000Z,85,South Parkdale (85),43.6359825,-79.4281311,26
-79.3694611,43.6545258,28,456829,2004,D51,Stabbing,2004-06-18T04:00:00.000Z,73,Moss Park (73),43.6545258,-79.3694611,27
-79.5351791,43.7112045,29,510813,2004,D31,Shooting,2004-06-19T04:00:00.000Z,23,Pelmo Park-Humberlea (23),43.7112045,-79.5351791,28
-79.5226669,43.7721443,30,564223,2004,D31,Shooting,2004-07-01T04:00:00.000Z,24,Black Creek (24),43.7721443,-79.5226669,29
-79.2758026,43.699543,31,565547,2004,D41,Stabbing,2004-07-05T04:00:00.000Z,121,Oakridge (121),43.699543,-79.2758026,30
-79.4852524,43.6301537,32,565561,2004,D22,Stabbing,2004-07-07T04:00:00.000Z,16,Stonegate-Queensway (16),43.6301537,-79.4852524,31
-79.505348200000014,43.708416,33,564251,2004,D31,Stabbing,2004-07-08T04:00:00.000Z,28,Rustic (28),43.708416,-79.5053482,32
-79.4124451,43.7674751,34,565588,2004,D32,Stabbing,2004-07-09T04:00:00.000Z,51,Willowdale East (51),43.7674751,-79.4124451,33
-79.3563385,43.8008614,35,592201,2004,D33,Shooting,2004-07-21T04:00:00.000Z,48,Hillcrest Village (48),43.8008614,-79.3563385,34
-79.4676514,43.6632538,36,593866,2004,D11,Other,2004-07-23T04:00:00.000Z,90,Junction Area (90),43.6632538,-79.4676514,35
-79.3666916,43.6506844,37,594159,2004,D51,Shooting,2004-07-24T04:00:00.000Z,73,Moss Park (73),43.6506844,-79.3666916,36
-79.453392,43.663322399999984,38,607864,2004,D11,Other,2004-08-05T04:00:00.000Z,93,Dovercourt-Wallace Emerson-Junction (93),43.6633224,-79.453392,37
-79.5038376,43.7028809,39,616055,2004,D31,Stabbing,2004-08-18T04:00:00.000Z,28,Rustic (28),43.7028809,-79.5038376,38
-79.4411087,43.702255199999989,40,605174,2004,D13,Stabbing,2004-08-19T04:00:00.000Z,108,Briar Hill-Belgravia (108),43.7022552,-79.4411087,39
