,Geography,Hospitals
0,"Abbotsford-Mission, British Columbia",1
1,"Barrie, Ontario",1
2,"Brantford, Ontario",2
3,"Calgary, Alberta",11
4,"Edmonton, Alberta",13
5,"Greater Sudbury, Ontario",3
6,"Guelph, Ontario",4
7,"Halifax, Nova Scotia",9
8,"Hamilton, Ontario",15
9,"Kelowna, British Columbia",1
10,"Kingston, Ontario",7
11,"Kitchener-Cambridge-Waterloo, Ontario",6
12,"London, Ontario",16
13,"Moncton, New Brunswick",3
14,"Montreal, Quebec",62
15,"Oshawa, Ontario",3
16,"Ottawa-Gatineau, Ontario/Quebec",12
17,"Peterborough, Ontario",3
18,"Quebec, Quebec",22
19,"Regina, Saskatchewan",3
20,"Saguenay, Quebec",3
21,"Saint John, New Brunswick",3
22,"Saskatoon, Saskatchewan",6
23,"Sherbrooke, Quebec",9
24,"St. Catharines-Niagara, Ontario",4
25,"St. John's, Newfoundland and Labrador",7
26,"Thunder Bay, Ontario",7
27,"Toronto, Ontario",47
28,"Trois-Rivieres, Quebec",3
29,"Vancouver, British Columbia",13
30,"Victoria, British Columbia",8
31,"Windsor, Ontario",6
32,"Winnipeg, Manitoba",18
