X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Lat,Long,FID
-79.4346008,43.7312317,4078,GO-20141653708,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Outside,1610,180,Robbery - Swarming,2014,March,6,65,Thursday  ,22,2014,March,6,65,Thursday  ,21,Robbery,D32,32,Englemount-Lawrence (32),43.7312317,-79.4346008,1
-79.603912399999984,43.7436447,4082,GO-20141654152,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,D23,1,West Humber-Clairville (1),43.7436447,-79.6039124,2
-79.603912399999984,43.7436447,4083,GO-20141654152,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,D23,1,West Humber-Clairville (1),43.7436447,-79.6039124,3
-79.5486755,43.7013283,4086,GO-20141650227,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Other,1610,200,Robbery - Mugging,2014,March,6,65,Thursday  ,12,2014,March,6,65,Thursday  ,12,Robbery,D23,6,Kingsview Village-The Westway (6),43.7013283,-79.5486755,4
-79.261131299999988,43.773616799999985,4088,GO-20141652543,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,180,Robbery - Swarming,2014,March,6,65,Thursday  ,18,2014,March,6,65,Thursday  ,18,Robbery,D43,127,Bendale (127),43.7736168,-79.2611313,5
-79.3121109,43.7488365,4090,GO-20141653746,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,22,2014,March,6,65,Thursday  ,22,Robbery,D41,119,Wexford/Maryvale (119),43.7488365,-79.3121109,6
-79.3121109,43.7488365,4091,GO-20141653746,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,22,2014,March,6,65,Thursday  ,22,Robbery,D41,119,Wexford/Maryvale (119),43.7488365,-79.3121109,7
-79.603912399999984,43.7436447,4092,GO-20141654152,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Commercial,1610,100,Robbery With Weapon,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,D23,1,West Humber-Clairville (1),43.7436447,-79.6039124,8
-79.374847399999979,43.660656,4095,GO-20141686658,2014-03-06T05:00:00.000Z,2014-03-12T04:00:00.000Z,Outside,1610,220,Robbery - Other,2014,March,12,71,Wednesday ,10,2014,March,6,65,Thursday  ,14,Robbery,D51,73,Moss Park (73),43.660656,-79.3748474,9
-79.4459915,43.729061099999988,4108,GO-20141654000,2014-03-06T05:00:00.000Z,2014-03-06T05:00:00.000Z,Outside,1610,200,Robbery - Mugging,2014,March,6,65,Thursday  ,23,2014,March,6,65,Thursday  ,23,Robbery,D32,32,Englemount-Lawrence (32),43.7290611,-79.4459915,10
-79.3920898,43.6488533,4114,GO-20141700443,2014-03-12T04:00:00.000Z,2014-03-14T04:00:00.000Z,Outside,1610,220,Robbery - Other,2014,March,14,73,Friday    ,16,2014,March,12,71,Wednesday ,23,Robbery,D52,77,Waterfront Communities-The Island (77),43.6488533,-79.3920898,11
-79.5080032,43.6481056,4121,GO-20141688182,2014-03-12T04:00:00.000Z,2014-03-12T04:00:00.000Z,Commercial,1610,110,Robbery - Financial Institute,2014,March,12,71,Wednesday ,20,2014,March,12,71,Wednesday ,15,Robbery,D22,15,Kingsway South (15),43.6481056,-79.5080032,12
-79.4427338,43.6583405,4126,GO-20141687149,2014-03-12T04:00:00.000Z,2014-03-12T04:00:00.000Z,Commercial,1610,110,Robbery - Financial Institute,2014,March,12,71,Wednesday ,15,2014,March,12,71,Wednesday ,12,Robbery,D11,93,Dovercourt-Wallace Emerson-Junction (93),43.6583405,-79.4427338,13
-79.425659199999984,43.661987299999986,4140,GO-20141687275,2014-03-12T04:00:00.000Z,2014-03-12T04:00:00.000Z,Commercial,1610,110,Robbery - Financial Institute,2014,March,12,71,Wednesday ,12,2014,March,12,71,Wednesday ,12,Robbery,D14,93,Dovercourt-Wallace Emerson-Junction (93),43.6619873,-79.4256592,14
