City,obesity rate by bmi,overweight rate by bmi,within 12 months seeing doctor,daily smoker,has regular healthprovider,Heavy drinking,life satisfection,Mood disorder,Poor perceived health,"Perceived life stress, high daily stress",poor perceived mental health,Physical activity 150 minutes per week
"Abbotsford-Mission, British Columbia",23.74728971,23.74728971,62.54720929,12.77028165,67.16624733,13.42238114,75.80656556,9.727150706,7.933877112,18.96522679,5.868895398,48.74443678
"Barrie, Ontario",21.45710557,21.70430724,56.36198236,16.06810901,72.4795317,16.21643001,70.05695527,11.12407547,11.02519479,22.14927026,6.625004944,43.65581616
"Brantford, Ontario",17.97250692,24.56473919,56.20745408,17.62554733,70.0858378,17.07041198,72.02881152,9.090341339,9.992436281,14.08655948,5.551353489,41.70454309
"Calgary, Alberta",18.31487764,28.85832608,63.77040698,11.70951194,70.95531323,15.23563211,78.31477989,6.52855913,7.589886389,18.51736771,5.753510933,47.64800802
"Edmonton, Alberta",19.50903489,28.99852394,62.03873096,16.30660841,67.19206093,15.76182781,77.60178747,7.869871056,8.429375453,17.7642646,5.44780597,44.98120875
"Greater Sudbury, Ontario",23.84107563,25.35383424,55.48798567,19.30279981,68.86077175,17.72953086,74.1251717,8.955530948,13.1307447,17.48748949,8.350427506,41.81264787
"Guelph, Ontario",19.57074825,26.5509818,60.14743297,12.59051471,77.30445561,12.39480723,72.47700437,11.02485485,9.45919499,21.52782308,6.523582752,46.77408833
"Halifax, Nova Scotia",22.83937585,27.15774524,67.3185805,14.75442873,75.69141892,20.56023645,78.64230467,8.804675355,9.16453947,17.22549565,6.621499722,49.49331133
"Hamilton, Ontario",19.21145985,28.20018887,60.86876326,15.3276015,80.24908651,16.82139318,76.24832273,9.079655467,9.066665974,18.31518485,5.728366324,47.94421792
"Kelowna, British Columbia",16.17982131,27.64906172,65.48731471,13.21010727,67.58659533,16.99905276,74.85727452,9.113949976,7.270679194,15.20698395,4.710580886,48.84667571
"Kingston, Ontario",24.87576853,23.99155874,65.49047117,14.7368297,78.10519739,18.15577418,78.4588813,11.19999057,9.903149555,22.45892846,7.073678254,49.75153705
"Kitchener-Cambridge-Waterloo, Ontario",20.78244637,25.73810984,57.62672689,16.00307134,75.98031054,17.80513078,75.98031054,10.87111945,10.32266658,18.66698529,6.659784889,45.65870169
"London, Ontario",18.26675391,24.05913367,59.90071901,15.044372,75.47885979,17.37713928,78.16747292,9.232223028,9.390376742,18.60283056,6.345917756,46.33903807
"Moncton, New Brunswick",30.78195662,27.59527829,68.68308823,12.33990331,76.00566822,17.01821831,79.53135488,9.831241652,10.17024998,16.13679664,6.034348324,39.93518161
"Montreal, Quebec",17.55367254,26.86932895,58.04674734,15.42063686,58.68196191,17.22247117,78.80368088,4.63434751,7.845023465,21.32788515,4.303146141,45.42896386
"Oshawa, Ontario",24.81504554,29.50004376,70.86703357,17.40142197,86.41504966,22.9358979,86.62098364,13.51441795,11.01746835,23.29628238,6.564145863,54.59824853
"Ottawa-Gatineau, Ontario/Quebec",18.44395317,27.80884783,61.9211348,14.61525327,72.15858189,16.81920037,79.25183142,6.732193349,7.710053835,19.79791385,5.295490634,49.99123687
"Peterborough, Ontario",23.9979245,24.56544299,62.75132961,13.29614736,74.10169931,16.70125827,74.10169931,10.2964068,8.999221689,17.34985082,5.837332987,48.15799715
"Quebec, Quebec",16.54079021,28.78721678,58.69795893,12.92054179,66.01335747,21.63410524,81.86754884,3.345608888,5.580176019,19.58679234,2.484239436,44.36676862
"Regina, Saskatchewan",19.74370591,29.67790742,61.64192815,15.96122752,66.96233732,18.45516932,74.90138538,6.941471343,6.899905646,14.67269092,6.317985893,40.31872576
"Saguenay, Quebec",17.68893723,30.5649834,63.56766487,17.7514423,70.13069812,21.87677749,80.75656147,7.375599267,7.625619582,18.12647278,3.625294555,43.62854482
"Saint John, New Brunswick",24.36762093,27.2760144,57.38181704,18.39362354,72.15960006,16.03546668,69.80144319,7.860522882,9.747048374,16.27128237,5.895392161,39.45982487
"Saskatoon, Saskatchewan",18.19612472,30.03180224,61.37503688,15.44211665,68.58791515,17.63876594,77.17779745,5.967017475,8.163666765,15.57325989,4.983443166,45.8345628
"Sherbrooke, Quebec",18.19725259,32.26729325,59.04727065,15.24254405,67.39549477,23.54386804,87.79705373,8.113723449,7.457121551,22.74656574,3.47061003,49.05754178
"St. Catharines-Niagara, Ontario",22.79136719,26.75721196,65.99949081,18.40935352,81.25085682,18.384873,81.07949316,10.4042224,12.26474217,19.09480817,6.585260767,47.05156577
"St. John's, Newfoundland and Labrador",26.80365276,26.01119693,72.20670977,15.38296593,82.88155582,23.02783385,78.49974129,10.9079213,10.06885043,13.37851885,4.801349972,47.40750409
"Thunder Bay, Ontario",23.26980943,27.84353059,60.8224674,19.25777332,73.01905717,20.38114343,74.78435306,8.104312939,11.87562688,14.68405216,5.697091274,49.34804413
"Toronto, Ontario",15.73227503,25.90928969,61.09642006,12.1993387,75.07285353,13.01676959,76.07992839,5.440820047,9.222255374,19.71806808,5.120387135,42.70585975
"Trois-Rivieres, Quebec",19.32804736,25.89830768,55.24121786,13.45946532,57.8565642,16.26617847,74.12274267,4.401436527,7.909827961,16.1386006,1.84987912,35.84938157
"Vancouver, British Columbia",13.03217365,26.59822418,65.81426981,10.88869783,72.04150534,13.55011391,78.40420217,7.812929542,9.980310302,17.6259053,6.390585918,52.01315409
"Victoria, British Columbia",16.00100313,29.63047769,67.98381909,12.75718818,71.60925932,15.45582415,79.78694405,9.186265851,9.813221681,15.4830831,4.90661084,55.03581826
"Windsor, Ontario",26.21948863,23.5143033,65.3406304,15.60683847,77.40991881,15.96356621,76.66673603,7.431827843,11.32610563,16.52838512,6.2724627,41.88578172
"Winnipeg, Manitoba",19.93534551,25.40087927,62.57658359,16.59809563,72.3742455,15.35134945,77.78940568,7.669378025,9.936189264,18.31079745,6.158170532,43.62352295
