Geography,Age group,2014
"Abbotsford-Mission, British Columbia",All ages,1228
"Barrie, Ontario",All ages,1393
"Brantford, Ontario",All ages,1295
"Calgary, Alberta",All ages,6449
"Edmonton, Alberta",All ages,7905
"Greater Sudbury, Ontario",All ages,1642
"Guelph, Ontario",All ages,1045
"Halifax, Nova Scotia",All ages,3071
"Hamilton, Ontario",All ages,6510
"Kelowna, British Columbia",All ages,1683
"Kingston, Ontario",All ages,1446
"Kitchener-Cambridge-Waterloo, Ontario",All ages,3434
"London, Ontario",All ages,4086
"Moncton, New Brunswick",All ages,1071
"Montreal, Quebec",All ages,28472
"Oshawa, Ontario",All ages,2543
"Ottawa-Gatineau, Ontario/Quebec",All ages,8148
"Peterborough, Ontario",All ages,1292
"Quebec, Quebec",All ages,6050
"Regina, Saskatchewan",All ages,1754
"Saguenay, Quebec",All ages,1519
"Saint John, New Brunswick",All ages,1134
"Saskatoon, Saskatchewan",All ages,2006
"Sherbrooke, Quebec",All ages,1745
"St. Catharines-Niagara, Ontario",All ages,4202
"St. John's, Newfoundland and Labrador",All ages,1546
"Thunder Bay, Ontario",All ages,1296
"Toronto, Ontario",All ages,32628
"Trois-Rivieres, Quebec",All ages,1546
"Vancouver, British Columbia",All ages,14943
"Victoria, British Columbia",All ages,3236
"Windsor, Ontario",All ages,2658
"Winnipeg, Manitoba",All ages,6115
