Geo Code,Geo Name,Line Number
1,St. John's,2
1000100,1,13
1000200,2,24
1000301,3.01,35
1000302,3.02,46
1000400,4,57
1000501,5.01,68
1000502,5.02,79
1000600,6,90
1000700,7,101
1000800,8,112
1000900,9,123
1001000,10,134
1001100,11,145
1001200,12,156
1001300,13,167
1001400,14,178
1001501,15.01,189
1001502,15.02,200
1001503,15.03,211
1001504,15.04,222
1001601,16.01,233
1001602,16.02,244
1001700,17,255
1010001,100.01,266
1010003,100.03,277
1010004,100.04,288
1011000,110,299
1017001,170.01,310
1017002,170.02,321
1017100,171,332
1017202,172.02,343
1017203,172.03,354
1017204,172.04,365
1017205,172.05,376
1017206,172.06,387
1020001,200.01,398
1020002,200.02,409
1020003,200.03,420
1020100,201,431
1020201,202.01,442
1020202,202.02,453
1020204,202.04,464
1020205,202.05,475
1030000,300,486
1030101,301.01,497
1030102,301.02,508
1030200,302,519
205,Halifax,530
205000100,1,541
205000200,2,552
205000300,3,563
205000401,4.01,574
205000402,4.02,585
205000500,5,596
205000600,6,607
205000700,7,618
205000800,8,629
205000900,9,640
205001000,10,651
205001100,11,662
205001200,12,673
205001300,13,684
205001400,14,695
205001500,15,706
205001600,16,717
205001700,17,728
205001800,18,739
205001900,19,750
205002000,20,761
205002100,21,772
205002200,22,783
205002300,23,794
205002400,24,805
205002501,25.01,816
205002502,25.02,827
205002503,25.03,838
205002602,26.02,849
205002603,26.03,860
205002604,26.04,871
205002605,26.05,882
205002700,27,893
205010000,100,904
205010100,101,915
205010200,102,926
205010300,103,937
205010401,104.01,948
205010402,104.02,959
205010501,105.01,970
205010502,105.02,981
205010601,106.01,992
205010602,106.02,1003
205010700,107,1014
205010800,108,1025
205010900,109,1036
205011000,110,1047
205011100,111,1058
205011200,112,1069
205011300,113,1080
205011400,114,1091
205012000,120,1102
205012102,121.02,1113
205012103,121.03,1124
205012105,121.05,1135
205012106,121.06,1146
205012108,121.08,1157
205012109,121.09,1168
205012110,121.1,1179
205012201,122.01,1190
205012203,122.03,1201
205012204,122.04,1212
205012205,122.05,1223
205012301,123.01,1234
205012302,123.02,1245
205012304,123.04,1256
205012305,123.05,1267
205012306,123.06,1278
205013003,130.03,1289
205013004,130.04,1300
205013006,130.06,1311
205013101,131.01,1322
205013102,131.02,1333
205013103,131.03,1344
205013104,131.04,1355
205013105,131.05,1366
205013203,132.03,1377
205013204,132.04,1388
205013206,132.06,1399
205013207,132.07,1410
205013210,132.1,1421
205014000,140,1432
205014100,141,1443
205014201,142.01,1454
205014202,142.02,1465
205014301,143.01,1476
205014302,143.02,1487
205015001,150.01,1498
205015002,150.02,1509
205015100,151,1520
205015200,152,1531
205015300,153,1542
205015404,154.04,1553
305,Moncton,1564
305000100,1,1575
305000200,2,1586
305000301,3.01,1597
305000303,3.03,1608
305000304,3.04,1619
305000400,4,1630
305000500,5,1641
305000600,6,1652
305000700,7,1663
305000800,8,1674
305000900,9,1685
305001001,10.01,1696
305001002,10.02,1707
305001100,11,1718
305001200,12,1729
305001300,13,1740
305001402,14.02,1751
305001403,14.03,1762
305001404,14.04,1773
305001501,15.01,1784
305001502,15.02,1795
305001601,16.01,1806
305001602,16.02,1817
305010000,100,1828
305010100,101,1839
305010201,102.01,1850
305010202,102.02,1861
305011000,110,1872
305012000,120,1883
305020000,200,1894
310,Saint John,1905
310000101,1.01,1916
310000102,1.02,1927
310000201,2.01,1938
310000202,2.02,1949
310000300,3,1960
310000400,4,1971
310000600,6,1982
310000700,7,1993
310000800,8,2004
310000900,9,2015
310001000,10,2026
310001100,11,2037
310001200,12,2048
310001300,13,2059
310001400,14,2070
310001500,15,2081
310001600,16,2092
310001700,17,2103
310001800,18,2114
310001900,19,2125
310002000,20,2136
310002100,21,2147
310002200,22,2158
310002300,23,2169
310002400,24,2180
310002501,25.01,2191
310002502,25.02,2202
310002600,26,2213
310002701,27.01,2224
310002702,27.02,2235
310002800,28,2246
310002900,29,2257
310010001,100.01,2268
310010003,100.03,2279
310010004,100.04,2290
310010100,101,2301
310010200,102,2312
310011001,110.01,2323
310011002,110.02,2334
310011100,111,2345
310011200,112,2356
310012002,120.02,2367
310012003,120.03,2378
310012004,120.04,2389
310013001,130.01,2400
310013003,130.03,2411
310013004,130.04,2422
310013101,131.01,2433
310013102,131.02,2444
310014000,140,2455
320,Fredericton,2466
320000100,1,2477
320000200,2,2488
320000300,3,2499
320000400,4,2510
320000500,5,2521
320000600,6,2532
320000700,7,2543
320000800,8,2554
320000900,9,2565
320001000,10,2576
320001100,11,2587
320001200,12,2598
320001300,13,2609
320001400,14,2620
320001500,15,2631
320001700,17,2642
320001800,18,2653
320001900,19,2664
320002000,20,2675
320002100,21,2686
320002200,22,2697
320002300,23,2708
320002400,24,2719
320002500,25,2730
320002600,26,2741
320002700,27,2752
320002800,28,2763
320002900,29,2774
320003000,30,2785
408,Saguenay,2796
408000100,1,2807
408000201,2.01,2818
408000202,2.02,2829
408000301,3.01,2840
408000302,3.02,2851
408000400,4,2862
408000500,5,2873
408000600,6,2884
408000700,7,2895
408000800,8,2906
408010000,100,2917
408010100,101,2928
408010200,102,2939
408010300,103,2950
408010400,104,2961
408010500,105,2972
408010600,106,2983
408010702,107.02,2994
408010703,107.03,3005
408010704,107.04,3016
408010800,108,3027
408010900,109,3038
408011000,110,3049
408011103,111.03,3060
408011104,111.04,3071
408012001,120.01,3082
408012003,120.03,3093
408012004,120.04,3104
408012005,120.05,3115
408013000,130,3126
408013100,131,3137
408013200,132,3148
408013300,133,3159
408014000,140,3170
408015000,150,3181
408016000,160,3192
408016100,161,3203
