Geography,Age group,2010
"Abbotsford-Mission, British Columbia",0 to 4 years,14.0
"Abbotsford-Mission, British Columbia",10 to 14 years,3.0
"Abbotsford-Mission, British Columbia",15 to 19 years,3.0
"Abbotsford-Mission, British Columbia",20 to 24 years,11.0
"Abbotsford-Mission, British Columbia",25 to 29 years,8.0
"Abbotsford-Mission, British Columbia",30 to 34 years,13.0
"Abbotsford-Mission, British Columbia",35 to 39 years,9.0
"Abbotsford-Mission, British Columbia",40 to 44 years,21.0
"Abbotsford-Mission, British Columbia",45 to 49 years,23.0
"Abbotsford-Mission, British Columbia",5 to 9 years,2.0
"Abbotsford-Mission, British Columbia",50 to 54 years,32.0
"Abbotsford-Mission, British Columbia",55 to 59 years,41.0
"Abbotsford-Mission, British Columbia",60 to 64 years,69.0
"Abbotsford-Mission, British Columbia",65 to 69 years,84.0
"Abbotsford-Mission, British Columbia",70 to 74 years,85.0
"Abbotsford-Mission, British Columbia",75 to 79 years,135.0
"Abbotsford-Mission, British Columbia",80 to 84 years,199.0
"Abbotsford-Mission, British Columbia",85 to 89 years,209.0
"Abbotsford-Mission, British Columbia",90 years and over,201.0
"Abbotsford-Mission, British Columbia",All ages,1162.0
"Barrie, Ontario",0 to 4 years,12.0
"Barrie, Ontario",10 to 14 years,0.0
"Barrie, Ontario",15 to 19 years,5.0
"Barrie, Ontario",20 to 24 years,6.0
"Barrie, Ontario",25 to 29 years,8.0
"Barrie, Ontario",30 to 34 years,8.0
"Barrie, Ontario",35 to 39 years,8.0
"Barrie, Ontario",40 to 44 years,12.0
"Barrie, Ontario",45 to 49 years,31.0
"Barrie, Ontario",5 to 9 years,1.0
"Barrie, Ontario",50 to 54 years,52.0
"Barrie, Ontario",55 to 59 years,73.0
"Barrie, Ontario",60 to 64 years,75.0
"Barrie, Ontario",65 to 69 years,107.0
"Barrie, Ontario",70 to 74 years,101.0
"Barrie, Ontario",75 to 79 years,168.0
"Barrie, Ontario",80 to 84 years,181.0
"Barrie, Ontario",85 to 89 years,205.0
"Barrie, Ontario",90 years and over,173.0
"Barrie, Ontario",All ages,1226.0
"Brantford, Ontario",0 to 4 years,10.0
"Brantford, Ontario",10 to 14 years,2.0
"Brantford, Ontario",15 to 19 years,6.0
"Brantford, Ontario",20 to 24 years,4.0
"Brantford, Ontario",25 to 29 years,6.0
"Brantford, Ontario",30 to 34 years,8.0
"Brantford, Ontario",35 to 39 years,8.0
"Brantford, Ontario",40 to 44 years,13.0
"Brantford, Ontario",45 to 49 years,29.0
"Brantford, Ontario",5 to 9 years,2.0
"Brantford, Ontario",50 to 54 years,37.0
"Brantford, Ontario",55 to 59 years,54.0
"Brantford, Ontario",60 to 64 years,88.0
"Brantford, Ontario",65 to 69 years,95.0
"Brantford, Ontario",70 to 74 years,119.0
"Brantford, Ontario",75 to 79 years,140.0
"Brantford, Ontario",80 to 84 years,217.0
"Brantford, Ontario",85 to 89 years,216.0
"Brantford, Ontario",90 years and over,178.0
"Brantford, Ontario",All ages,1232.0
"Calgary, Alberta",0 to 4 years,76.0
"Calgary, Alberta",10 to 14 years,7.0
"Calgary, Alberta",15 to 19 years,30.0
"Calgary, Alberta",20 to 24 years,38.0
"Calgary, Alberta",25 to 29 years,45.0
"Calgary, Alberta",30 to 34 years,54.0
"Calgary, Alberta",35 to 39 years,64.0
"Calgary, Alberta",40 to 44 years,91.0
"Calgary, Alberta",45 to 49 years,164.0
"Calgary, Alberta",5 to 9 years,4.0
"Calgary, Alberta",50 to 54 years,271.0
"Calgary, Alberta",55 to 59 years,351.0
"Calgary, Alberta",60 to 64 years,366.0
"Calgary, Alberta",65 to 69 years,380.0
"Calgary, Alberta",70 to 74 years,465.0
"Calgary, Alberta",75 to 79 years,645.0
"Calgary, Alberta",80 to 84 years,831.0
"Calgary, Alberta",85 to 89 years,839.0
"Calgary, Alberta",90 years and over,816.0
"Calgary, Alberta",All ages,5537.0
"Edmonton, Alberta",0 to 4 years,114.0
"Edmonton, Alberta",10 to 14 years,13.0
"Edmonton, Alberta",15 to 19 years,32.0
"Edmonton, Alberta",20 to 24 years,52.0
"Edmonton, Alberta",25 to 29 years,57.0
"Edmonton, Alberta",30 to 34 years,50.0
"Edmonton, Alberta",35 to 39 years,72.0
"Edmonton, Alberta",40 to 44 years,118.0
"Edmonton, Alberta",45 to 49 years,201.0
"Edmonton, Alberta",5 to 9 years,7.0
"Edmonton, Alberta",50 to 54 years,291.0
"Edmonton, Alberta",55 to 59 years,348.0
"Edmonton, Alberta",60 to 64 years,462.0
"Edmonton, Alberta",65 to 69 years,487.0
"Edmonton, Alberta",70 to 74 years,612.0
"Edmonton, Alberta",75 to 79 years,715.0
"Edmonton, Alberta",80 to 84 years,992.0
"Edmonton, Alberta",85 to 89 years,985.0
"Edmonton, Alberta",90 years and over,922.0
"Edmonton, Alberta",All ages,6530.0
"Greater Sudbury, Ontario",0 to 4 years,8.0
"Greater Sudbury, Ontario",10 to 14 years,1.0
"Greater Sudbury, Ontario",15 to 19 years,3.0
"Greater Sudbury, Ontario",20 to 24 years,2.0
"Greater Sudbury, Ontario",25 to 29 years,7.0
"Greater Sudbury, Ontario",30 to 34 years,12.0
"Greater Sudbury, Ontario",35 to 39 years,9.0
"Greater Sudbury, Ontario",40 to 44 years,25.0
"Greater Sudbury, Ontario",45 to 49 years,52.0
"Greater Sudbury, Ontario",5 to 9 years,1.0
"Greater Sudbury, Ontario",50 to 54 years,68.0
"Greater Sudbury, Ontario",55 to 59 years,82.0
"Greater Sudbury, Ontario",60 to 64 years,117.0
"Greater Sudbury, Ontario",65 to 69 years,109.0
"Greater Sudbury, Ontario",70 to 74 years,125.0
"Greater Sudbury, Ontario",75 to 79 years,186.0
"Greater Sudbury, Ontario",80 to 84 years,258.0
"Greater Sudbury, Ontario",85 to 89 years,221.0
"Greater Sudbury, Ontario",90 years and over,156.0
"Greater Sudbury, Ontario",All ages,1442.0
"Guelph, Ontario",0 to 4 years,7.0
"Guelph, Ontario",10 to 14 years,0.0
"Guelph, Ontario",15 to 19 years,1.0
"Guelph, Ontario",20 to 24 years,5.0
"Guelph, Ontario",25 to 29 years,3.0
"Guelph, Ontario",30 to 34 years,4.0
"Guelph, Ontario",35 to 39 years,14.0
"Guelph, Ontario",40 to 44 years,10.0
"Guelph, Ontario",45 to 49 years,18.0
"Guelph, Ontario",5 to 9 years,0.0
"Guelph, Ontario",50 to 54 years,25.0
"Guelph, Ontario",55 to 59 years,47.0
"Guelph, Ontario",60 to 64 years,58.0
"Guelph, Ontario",65 to 69 years,75.0
"Guelph, Ontario",70 to 74 years,80.0
"Guelph, Ontario",75 to 79 years,139.0
"Guelph, Ontario",80 to 84 years,159.0
"Guelph, Ontario",85 to 89 years,188.0
"Guelph, Ontario",90 years and over,155.0
"Guelph, Ontario",All ages,988.0
"Halifax, Nova Scotia",0 to 4 years,27.0
"Halifax, Nova Scotia",10 to 14 years,1.0
"Halifax, Nova Scotia",15 to 19 years,15.0
"Halifax, Nova Scotia",20 to 24 years,17.0
"Halifax, Nova Scotia",25 to 29 years,10.0
"Halifax, Nova Scotia",30 to 34 years,20.0
"Halifax, Nova Scotia",35 to 39 years,23.0
"Halifax, Nova Scotia",40 to 44 years,39.0
"Halifax, Nova Scotia",45 to 49 years,64.0
"Halifax, Nova Scotia",5 to 9 years,1.0
"Halifax, Nova Scotia",50 to 54 years,127.0
"Halifax, Nova Scotia",55 to 59 years,173.0
"Halifax, Nova Scotia",60 to 64 years,170.0
"Halifax, Nova Scotia",65 to 69 years,241.0
"Halifax, Nova Scotia",70 to 74 years,272.0
"Halifax, Nova Scotia",75 to 79 years,337.0
"Halifax, Nova Scotia",80 to 84 years,416.0
"Halifax, Nova Scotia",85 to 89 years,456.0
"Halifax, Nova Scotia",90 years and over,433.0
"Halifax, Nova Scotia",All ages,2842.0
"Hamilton, Ontario",0 to 4 years,31.0
"Hamilton, Ontario",10 to 14 years,8.0
"Hamilton, Ontario",15 to 19 years,15.0
"Hamilton, Ontario",20 to 24 years,18.0
"Hamilton, Ontario",25 to 29 years,21.0
"Hamilton, Ontario",30 to 34 years,29.0
"Hamilton, Ontario",35 to 39 years,33.0
"Hamilton, Ontario",40 to 44 years,48.0
"Hamilton, Ontario",45 to 49 years,122.0
"Hamilton, Ontario",5 to 9 years,2.0
"Hamilton, Ontario",50 to 54 years,175.0
"Hamilton, Ontario",55 to 59 years,239.0
"Hamilton, Ontario",60 to 64 years,344.0
"Hamilton, Ontario",65 to 69 years,418.0
"Hamilton, Ontario",70 to 74 years,471.0
"Hamilton, Ontario",75 to 79 years,742.0
"Hamilton, Ontario",80 to 84 years,900.0
"Hamilton, Ontario",85 to 89 years,1001.0
"Hamilton, Ontario",90 years and over,886.0
"Hamilton, Ontario",All ages,5503.0
"Kelowna, British Columbia",0 to 4 years,10.0
"Kelowna, British Columbia",10 to 14 years,1.0
"Kelowna, British Columbia",15 to 19 years,3.0
"Kelowna, British Columbia",20 to 24 years,5.0
"Kelowna, British Columbia",25 to 29 years,8.0
"Kelowna, British Columbia",30 to 34 years,15.0
"Kelowna, British Columbia",35 to 39 years,13.0
"Kelowna, British Columbia",40 to 44 years,14.0
"Kelowna, British Columbia",45 to 49 years,30.0
"Kelowna, British Columbia",5 to 9 years,0.0
"Kelowna, British Columbia",50 to 54 years,45.0
"Kelowna, British Columbia",55 to 59 years,66.0
"Kelowna, British Columbia",60 to 64 years,78.0
