Geography,Number of Mortality
"Abbotsford-Mission, British Columbia",1252
"Barrie, Ontario",1426
"Brantford, Ontario",1339
"Calgary, Alberta",6655
"Edmonton, Alberta",8173
"Greater Sudbury, Ontario",1698
"Guelph, Ontario",1077
"Halifax, Nova Scotia",3136
"Hamilton, Ontario",6725
"Kelowna, British Columbia",1717
"Kingston, Ontario",1495
"Kitchener-Cambridge-Waterloo, Ontario",3558
"London, Ontario",4225
"Moncton, New Brunswick",1096
"Montreal, Quebec",27843
"Oshawa, Ontario",2635
"Ottawa-Gatineau, Ontario/Quebec",8277
"Peterborough, Ontario",1337
"Quebec, Quebec",5829
"Regina, Saskatchewan",1780
"Saguenay, Quebec",1372
"Saint John, New Brunswick",1161
"Saskatoon, Saskatchewan",2028
"Sherbrooke, Quebec",1555
"St. Catharines-Niagara, Ontario",4350
"St. John's, Newfoundland and Labrador",1586
"Thunder Bay, Ontario",1343
"Toronto, Ontario",33756
"Trois-Rivieres, Quebec",1556
"Vancouver, British Columbia",15290
"Victoria, British Columbia",3300
"Windsor, Ontario",2750
"Winnipeg, Manitoba",6231
