Geography,Age group,2016
"Abbotsford-Mission, British Columbia",All ages,1348
"Barrie, Ontario",All ages,1482
"Brantford, Ontario",All ages,1374
"Calgary, Alberta",All ages,6875
"Edmonton, Alberta",All ages,8422
"Greater Sudbury, Ontario",All ages,1757
"Guelph, Ontario",All ages,1128
"Halifax, Nova Scotia",All ages,3226
"Hamilton, Ontario",All ages,6945
"Kelowna, British Columbia",All ages,1846
"Kingston, Ontario",All ages,1547
"Kitchener-Cambridge-Waterloo, Ontario",All ages,3682
"London, Ontario",All ages,4369
"Moncton, New Brunswick",All ages,1128
"Montreal, Quebec",All ages,28353
"Oshawa, Ontario",All ages,2716
"Ottawa-Gatineau, Ontario/Quebec",All ages,8648
"Peterborough, Ontario",All ages,1384
"Quebec, Quebec",All ages,6154
"Regina, Saskatchewan",All ages,1801
"Saguenay, Quebec",All ages,1394
"Saint John, New Brunswick",All ages,1194
"Saskatoon, Saskatchewan",All ages,2057
"Sherbrooke, Quebec",All ages,1700
"St. Catharines-Niagara, Ontario",All ages,4500
"St. John's, Newfoundland and Labrador",All ages,1625
"Thunder Bay, Ontario",All ages,1388
"Toronto, Ontario",All ages,34927
"Trois-Rivieres, Quebec",All ages,1563
"Vancouver, British Columbia",All ages,16471
"Victoria, British Columbia",All ages,3549
"Windsor, Ontario",All ages,2845
"Winnipeg, Manitoba",All ages,6350
