,CMA,"Cities pop>2,000",,,,,,
0,"Abbotsford-Mission, British Columbia",Abbotsford,,,,,,
,"Abbotsford-Mission, British Columbia",Mission,,,,,,
1,"Barrie, Ontario",Barrie,,,,,,
,"Barrie, Ontario",Innisfil,,,,,,
2,"Brantford, Ontario",Brantford,,,,,,
,"Brantford, Ontario",Paris,,,,,,
3,"Calgary, Alberta",Calgary,,,,,,
,"Calgary, Alberta",Airdrie,,,,,,
,"Calgary, Alberta",Chestermere,,,,,,
,"Calgary, Alberta",Cochrane,,,,,,
,"Calgary, Alberta",Crossfield,,,,,,
4,"Edmonton, Alberta",Beaumont,,,,,,
,"Edmonton, Alberta",Edmonton,,,,,,
,"Edmonton, Alberta",Fort Saskatchewan,,,,,,
,"Edmonton, Alberta",Gibbons,,,,,,
,"Edmonton, Alberta",Leduc,,,,,,
,"Edmonton, Alberta",Parkland,,,,,,
,"Edmonton, Alberta",Redwater,,,,,,
,"Edmonton, Alberta",St Albert,,,,,,
,"Edmonton, Alberta",Spruce Groves,,,,,,
,"Edmonton, Alberta",Stony Plain,,,,,,
,"Edmonton, Alberta",Strathcona,,,,,,
,"Edmonton, Alberta",Sturgeon County,,,,,,
5,"Greater Sudbury, Ontario",Sudbury,,,,,,
,"Greater Sudbury, Ontario",Markstay-Warren,,,,,,
6,"Guelph, Ontario",Guelph,,,,,,
,"Guelph, Ontario",Eramosa,,,,,,
,"Guelph, Ontario",Puslinch,,,,,,
7,"Halifax, Nova Scotia",Halifax,,,,,,
,"Halifax, Nova Scotia",Dartmouth,,,,,,
,"Halifax, Nova Scotia",Bedford,,,,,,
8,"Hamilton, Ontario",Hamilton,,,,,,
,"Hamilton, Ontario",Burlington,,,,,,
,"Hamilton, Ontario",Grimsby,,,,,,
9,"Kelowna, British Columbia",Kelowna,,,,,,
,"Kelowna, British Columbia",West Kelowna,,,,,,
,"Kelowna, British Columbia",Lake Country,,,,,,
,"Kelowna, British Columbia",Peachland,,,,,,
10,"Kingston, Ontario",Kingston,,,,,,
,"Kingston, Ontario",South Frontenac,,,,,,
,"Kingston, Ontario",Loyalist,,,,,,
,"Kingston, Ontario",Frontenac Islands,,,,,,
11,"Kitchener-Cambridge-Waterloo, Ontario",Kitchener,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Cambridge,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Waterloo,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Ayr,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Baden,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Bloomingdale,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Breslau,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Conestogo,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Doon,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Elmira,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Maryhill,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",New Dundee,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",New Hamburg,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Roseville,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",St Jacobs,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Wellesley,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",West Montrose,,,,,,
,"Kitchener-Cambridge-Waterloo, Ontario",Winterbourne,,,,,,
12,"London, Ontario",London,,,,,,
,"London, Ontario",St Thomas,,,,,,
,"London, Ontario",Thames Centre,,,,,,
,"London, Ontario",Middlesex Centre,,,,,,
,"London, Ontario",Strathroy-Caradoc,,,,,,
,"London, Ontario",Adelaide,,,,,,
,"London, Ontario",Metcalfe,,,,,,
,"London, Ontario",Southwold,,,,,,
,"London, Ontario",Central Elgin,,,,,,
13,"Moncton, New Brunswick",Moncton,,,,,,
,"Moncton, New Brunswick",Riverview,,,,,,
,"Moncton, New Brunswick",Dieppe,,,,,,
14,"Montreal, Quebec",Baie-D'Urfe,,,,,,
,"Montreal, Quebec",Beaconsfield,,,,,,
,"Montreal, Quebec",Beauharnois,,,,,,
,"Montreal, Quebec",Beloeil,,,,,,
,"Montreal, Quebec",Blainville,,,,,,
,"Montreal, Quebec",Boisbriand,,,,,,
,"Montreal, Quebec",Bois-des-Dilion,,,,,,
,"Montreal, Quebec",Boucherville,,,,,,
,"Montreal, Quebec",Brossard,,,,,,
,"Montreal, Quebec",Candiac,,,,,,
,"Montreal, Quebec",Carignan,,,,,,
,"Montreal, Quebec",Chambly,,,,,,
,"Montreal, Quebec",Charlemagne,,,,,,
,"Montreal, Quebec",Chateauguay,,,,,,
,"Montreal, Quebec",Coteau-du-Lac,,,,,,
,"Montreal, Quebec",Cote-Saint-Luc,,,,,,
,"Montreal, Quebec",Delson,,,,,,
,"Montreal, Quebec",Deux-Montagnes,,,,,,
,"Montreal, Quebec",Dollard-Des-Ormeaux,,,,,,
,"Montreal, Quebec",Dorval,,,,,,
,"Montreal, Quebec",Hampstead,,,,,,
,"Montreal, Quebec",Hudson,,,,,,
,"Montreal, Quebec",Kirkland,,,,,,
,"Montreal, Quebec",La Prairie,,,,,,
,"Montreal, Quebec",L'Assomption,,,,,,
,"Montreal, Quebec",Laval,,,,,,
,"Montreal, Quebec",Lavaltrie,,,,,,
,"Montreal, Quebec",L'Epiphanie,,,,,,
,"Montreal, Quebec",Lery,,,,,,
,"Montreal, Quebec",L'ile Cadieiux,,,,,,
,"Montreal, Quebec",L'ile Perrot,,,,,,
,"Montreal, Quebec",Longueuil,,,,,,
,"Montreal, Quebec",Lorraine,,,,,,
,"Montreal, Quebec",Mascouche,,,,,,
,"Montreal, Quebec",Mercier,,,,,,
,"Montreal, Quebec",Mirabel,,,,,,
,"Montreal, Quebec",Montreal,,,,,,
,"Montreal, Quebec",Mont-Royal,,,,,,
,"Montreal, Quebec",Mont-Saint-Hilaire,,,,,,
,"Montreal, Quebec",Notre-Dame-de-I'ile-Perrot,,,,,,
,"Montreal, Quebec",Otterburn Park,,,,,,
,"Montreal, Quebec",Pincourt,,,,,,
,"Montreal, Quebec",Pointe-Claire,,,,,,
,"Montreal, Quebec",Richelieu,,,,,,
,"Montreal, Quebec",Rosemere,,,,,,
,"Montreal, Quebec",Saint-Basile-le-Grand,,,,,,
,"Montreal, Quebec",Saint-Bruno-de-Montarville,,,,,,
,"Montreal, Quebec",Saint-Colomban,,,,,,
,"Montreal, Quebec",Saint-Constant,,,,,,
,"Montreal, Quebec",Sainte-Anne-de-Believue,,,,,,
,"Montreal, Quebec",Sainte-Catherine,,,,,,
,"Montreal, Quebec",Sainte-Dulie,,,,,,
,"Montreal, Quebec",Sainte-Marthe-sur-le-Lac,,,,,,
,"Montreal, Quebec",Sainte-Therese,,,,,,
,"Montreal, Quebec",Saint-Eustache,,,,,,
,"Montreal, Quebec",Saint-Jean-sur-Richelieu,,,,,,
,"Montreal, Quebec",Saint-Jerome,,,,,,
,"Montreal, Quebec",Saint-Lambert,,,,,,
,"Montreal, Quebec",Saint-Lazare,,,,,,
,"Montreal, Quebec",Saint-lin-Laurentides,,,,,,
,"Montreal, Quebec",Terrebonne,,,,,,
,"Montreal, Quebec",Varennes,,,,,,
,"Montreal, Quebec",Vaudreuil-Dorion,,,,,,
,"Montreal, Quebec",Westmount,,,,,,
15,"Oshawa, Ontario",Oshawa,,,,,,
,"Oshawa, Ontario",Brooklin,,,,,,
,"Oshawa, Ontario",Whitby,,,,,,
,"Oshawa, Ontario",Courtice,,,,,,
,"Oshawa, Ontario",Bowmanville,,,,,,
,"Oshawa, Ontario",Newcastle,,,,,,
,"Oshawa, Ontario",Clarington,,,,,,
16,"Ottawa-Gatineau, Ontario/Quebec",Ottawa,,,,,,
