Geography,Age group,Population
"St. John's, Newfoundland and Labrador",All ages,"217,613"
,0 to 4 years,"10,540"
,5 to 9 years,"11,660"
,10 to 14 years,"10,726"
,15 to 19 years,"10,843"
,20 to 24 years,"14,351"
,25 to 29 years,"18,975"
,30 to 34 years,"17,924"
,35 to 39 years,"16,323"
,40 to 44 years,"15,454"
,45 to 49 years,"15,481"
,50 to 54 years,"15,931"
,55 to 59 years,"14,806"
,60 to 64 years,"13,447"
,65 to 69 years,"11,368"
,70 to 74 years,"8,083"
,75 to 79 years,"5,210"
,80 to 84 years,"3,333"
,85 to 89 years,"1,980"
,90 years and over,"1,178"
"Halifax, Nova Scotia",All ages,"424,950"
,0 to 4 years,"20,489"
,5 to 9 years,"20,557"
,10 to 14 years,"19,416"
,15 to 19 years,"22,661"
,20 to 24 years,"30,319"
,25 to 29 years,"37,385"
,30 to 34 years,"33,133"
,35 to 39 years,"30,069"
,40 to 44 years,"28,735"
,45 to 49 years,"28,489"
,50 to 54 years,"32,268"
,55 to 59 years,"31,093"
,60 to 64 years,"26,516"
,65 to 69 years,"22,793"
,70 to 74 years,"15,949"
,75 to 79 years,"10,463"
,80 to 84 years,"7,240"
,85 to 89 years,"4,439"
,90 years and over,"2,936"
"Moncton, New Brunswick",All ages,"150,025"
,0 to 4 years,"7,477"
,5 to 9 years,"7,993"
,10 to 14 years,"7,582"
,15 to 19 years,"7,633"
,20 to 24 years,"9,352"
,25 to 29 years,"10,545"
,30 to 34 years,"11,248"
,35 to 39 years,"10,876"
,40 to 44 years,"10,994"
,45 to 49 years,"10,439"
,50 to 54 years,"11,301"
,55 to 59 years,"10,432"
,60 to 64 years,"9,352"
,65 to 69 years,"8,361"
,70 to 74 years,"5,925"
,75 to 79 years,"4,005"
,80 to 84 years,"3,017"
,85 to 89 years,"2,057"
,90 years and over,"1,436"
"Saint John, New Brunswick",All ages,"128,054"
,0 to 4 years,"6,166"
,5 to 9 years,"6,881"
,10 to 14 years,"6,912"
,15 to 19 years,"7,644"
,20 to 24 years,"8,849"
,25 to 29 years,"7,217"
,30 to 34 years,"7,316"
,35 to 39 years,"7,798"
,40 to 44 years,"8,639"
,45 to 49 years,"8,605"
,50 to 54 years,"10,293"
,55 to 59 years,"10,212"
,60 to 64 years,"8,921"
,65 to 69 years,"7,716"
,70 to 74 years,"5,573"
,75 to 79 years,"3,813"
,80 to 84 years,"2,638"
,85 to 89 years,"1,775"
,90 years and over,"1,086"
"Saguenay, Quebec",All ages,"159,550"
,0 to 4 years,"7,831"
,5 to 9 years,"7,711"
,10 to 14 years,"6,958"
,15 to 19 years,"7,419"
,20 to 24 years,"9,441"
,25 to 29 years,"9,551"
,30 to 34 years,"9,903"
,35 to 39 years,"10,549"
,40 to 44 years,"8,846"
,45 to 49 years,"8,521"
,50 to 54 years,"12,196"
,55 to 59 years,"14,454"
,60 to 64 years,"13,026"
,65 to 69 years,"10,983"
,70 to 74 years,"8,340"
,75 to 79 years,"5,654"
,80 to 84 years,"4,178"
,85 to 89 years,"2,633"
,90 years and over,"1,356"
"Quebec, Quebec",All ages,"806,736"
,0 to 4 years,"41,908"
,5 to 9 years,"41,526"
,10 to 14 years,"35,228"
,15 to 19 years,"37,322"
,20 to 24 years,"50,640"
,25 to 29 years,"57,375"
,30 to 34 years,"56,527"
,35 to 39 years,"58,727"
,40 to 44 years,"49,739"
,45 to 49 years,"48,520"
,50 to 54 years,"58,136"
,55 to 59 years,"60,935"
,60 to 64 years,"55,618"
,65 to 69 years,"50,125"
,70 to 74 years,"39,102"
,75 to 79 years,"25,942"
,80 to 84 years,"18,612"
,85 to 89 years,"12,516"
,90 years and over,"8,238"
"Sherbrooke, Quebec",All ages,"216,076"
,0 to 4 years,"11,236"
,5 to 9 years,"11,442"
,10 to 14 years,"10,344"
,15 to 19 years,"11,346"
,20 to 24 years,"15,007"
,25 to 29 years,"15,756"
,30 to 34 years,"14,174"
,35 to 39 years,"14,198"
,40 to 44 years,"12,489"
,45 to 49 years,"12,713"
,50 to 54 years,"15,184"
,55 to 59 years,"15,647"
,60 to 64 years,"14,923"
,65 to 69 years,"13,482"
,70 to 74 years,"10,603"
,75 to 79 years,"6,921"
,80 to 84 years,"5,125"
,85 to 89 years,"3,331"
,90 years and over,"2,155"
"Trois-Rivieres, Quebec",All ages,"157,794"
,0 to 4 years,"7,377"
,5 to 9 years,"7,379"
,10 to 14 years,"6,578"
,15 to 19 years,"7,382"
,20 to 24 years,"10,192"
,25 to 29 years,"10,086"
,30 to 34 years,"9,788"
,35 to 39 years,"9,804"
,40 to 44 years,"8,265"
,45 to 49 years,"8,881"
,50 to 54 years,"11,754"
,55 to 59 years,"12,934"
,60 to 64 years,"12,220"
,65 to 69 years,"10,804"
,70 to 74 years,"8,696"
,75 to 79 years,"5,999"
,80 to 84 years,"4,473"
,85 to 89 years,"3,266"
,90 years and over,"1,916"
