REF_DATE,GEO,Age group,Sex,Indicators,Characteristics,VALUE
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,126000
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,21600
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,137100
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,10300
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,28700
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,55800
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,57500
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,2200
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,43200
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Diabetes,Number of persons,13000
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Asthma,Number of persons,10500
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,3700
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,38000
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,23400
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,33000
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,26300
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,49400
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,101700
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,5100
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,11400
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,4600
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,48000
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,133100
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,168400
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,177800
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,154900
2015,"St. John's, Newfoundland and Labrador","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,49700
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,231000
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,38200
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,245800
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,27600
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,71800
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,113200
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,95200
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,7800
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,73900
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Diabetes,Number of persons,28300
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Asthma,Number of persons,35700
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,9900
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,56200
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,36700
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,61500
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,44100
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,85700
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,206300
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,15000
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,16800
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,87700
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,257900
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,327800
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,315500
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,280600
2015,"Halifax, Nova Scotia","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,175000
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,76800
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,15000
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,89500
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,8900
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,23800
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,40700
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,45400
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,23900
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Diabetes,Number of persons,10100
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Asthma,Number of persons,9200
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,2300
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,25600
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Mood disorder,Number of persons,14500
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional",Number of persons,18200
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Current smoker, daily",Number of persons,13400
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Heavy drinking,Number of persons,25100
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)",Number of persons,58900
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)",Number of persons,2900
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Breast milk feeding initiation,Number of persons,4400
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Exclusive breastfeeding, at least 6 months",Number of persons,
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day",Number of persons,34300
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong",Number of persons,77800
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied",Number of persons,117300
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Has a regular healthcare provider,Number of persons,112100
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,Number of persons,101300
2015,"Moncton, New Brunswick","Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Number of persons,40900
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Perceived health, very good or excellent",Number of persons,60500
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Perceived health, fair or poor",Number of persons,12400
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Perceived mental health, very good or excellent",Number of persons,67900
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Perceived mental health, fair or poor",Number of persons,7500
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Perceived life stress, most days quite a bit or extremely stressful",Number of persons,20700
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight",Number of persons,34700
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese",Number of persons,31000
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Number of persons,2100
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Arthritis (15 years and over),Number of persons,24300
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Diabetes,Number of persons,7900
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Asthma,Number of persons,6400
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),Number of persons,7100
2015,"Saint John, New Brunswick","Total, 12 years and over",Both sexes,High blood pressure,Number of persons,19800
