City,Arthritis (15 years and over),Asthma,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Body mass index, adjusted self-reported, adult (18 years and over), overweight","Body mass index, self-reported, youth (12 to 17 years old), overweight or obese",Breast milk feeding initiation,Chronic obstructive pulmonary disease (COPD; 35 years and over),Contact with a medical doctor in the past 12 months,"Current smoker, daily","Current smoker, daily or occasional",Diabetes,"Exclusive breastfeeding, at least 6 months","Fruit and vegetable consumption, 5 times or more per day",Has a regular healthcare provider,Heavy drinking,High blood pressure,Influenza immunization in the past 12 months,"Life satisfaction, satisfied or very satisfied",Mood disorder,"Perceived health, fair or poor","Perceived health, very good or excellent","Perceived life stress, most days quite a bit or extremely stressful","Perceived mental health, fair or poor","Perceived mental health, very good or excellent","Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Sense of belonging to local community, somewhat strong or very strong"
"Abbotsford-Mission, British Columbia",17.38931969720847,8.422951728335352,23.74728971150032,23.74728971150032,1.5215654735057411,5.977578645915411,2.4997147064737177,62.54720928589672,8.368610104281576,12.770281652637472,5.651528901592753,0.0,25.05148868879095,67.16624733046773,13.422381141282788,10.759641562647742,24.888463816629624,75.80656555501818,9.727150705625988,7.9338771118513645,50.972443362442334,18.96522679476799,5.868895397807859,54.558990549991584,48.74443677623749,4.184305052140788,60.319202699691886
"Barrie, Ontario",18.292924099197087,7.2677293042755995,21.457105565004152,21.70430724202033,0.0,6.229482260807657,0.0,56.36198235968833,9.789186409840605,16.068109006051497,6.872206621049718,0.0,23.187517304117392,72.47953170114306,16.216430012261203,15.277063639599731,22.05038958984298,70.05695526638452,11.124075465727959,11.02519479492149,48.15488668275126,22.14927026064945,6.62500494403354,51.07186647154214,43.65581616105684,4.004667167662065,55.17541431001069
"Brantford, Ontario",18.38885843354683,8.188246396824626,17.97250692184388,24.564739190473876,1.804189884046104,2.9144605819206295,3.0532444191549453,56.20745407989786,13.115072618642834,17.625547328758092,5.898313082458417,0.0,20.817575585147356,70.08583780332943,17.07041197982083,15.058046339923253,26.368929074519983,72.02881152460985,9.090341338847677,9.992436280870729,49.476437974033544,14.086559479283043,5.5513534893726275,53.84812884691449,41.70454308891187,4.094123198412313,57.04015710330375
"Calgary, Alberta",12.67308536911496,7.541009475837,18.314877643630044,28.858326077439184,1.082274508106236,4.5665001825901825,1.4174304848101027,63.77040698409196,7.757464377458247,11.70951193609134,3.5680146686599135,1.7735337100579611,23.98459958287046,70.9553132346811,15.235632107663271,11.19281313867288,32.063255104669906,78.3147798898035,6.528559129544069,7.589886389106313,59.916113251997494,18.517367712888632,5.753510933416377,63.33051476466813,47.648008021399704,3.1630345301427414,56.040872271359035
"Edmonton, Alberta",16.019494311091805,8.429375453216966,19.509034891724855,28.99852393905819,1.3398657925637447,4.174197276833206,2.4073412866392556,62.03873095568504,11.101745138385315,16.306608409498324,4.637996974259117,1.6637893907659689,24.147031865983973,67.19206092708406,15.761827812521856,12.669829829682444,29.73471393497234,77.60178746931008,7.869871056322215,8.429375453216966,55.05964979441894,17.764264601408332,5.447805969764677,61.221560060220334,44.98120875035429,3.283407381777089,56.48049648653325
"Greater Sudbury, Ontario",21.48117220638868,7.442772341931854,23.841075631879267,25.353834237962978,1.331227573353665,2.904496523680723,4.477765474007782,55.48798567115048,15.369627437810493,19.30279981362814,7.866344751635292,0.0,21.54168255063203,68.86077174893049,17.729530863301083,19.847392911818275,28.984454892563882,74.1251716981018,8.955530948015564,13.130744700806604,50.16307537773582,17.487489486327686,8.35042750558208,53.67267534385003,41.81264787215375,3.3280689333841624,58.69503391604795
"Guelph, Ontario",13.43858046839324,6.0669319590319,19.570748254941613,26.55098179920412,0.0,4.109857133537739,0.0,60.14743297018723,9.067780024789615,12.590514710679104,4.436036271120099,0.0,24.659142801226434,77.30445560701938,12.39480722812969,14.482353708656795,25.70291604148999,72.47700437080044,11.024854850283775,9.459194989888447,51.3405962554635,21.527823080435777,6.523582751647204,53.68908604605649,46.77408832931046,3.1313197207906582,51.862482875595276
"Halifax, Nova Scotia",17.72930541427557,8.564765944379403,22.839375851678405,27.157745235399112,1.8712933996123065,4.03047809147266,2.375103161046389,67.31858050400169,10.580004990115732,14.754428727712416,6.789436308849778,0.0,21.04005527512811,75.69141892021572,20.5602364547147,13.482908853616873,41.98414678617354,78.64230466575822,8.804675354586108,9.164539469896168,55.41907375774907,17.225495652841488,6.621499721705085,58.96973302880832,49.49331132564343,3.5986411531005893,61.872636892309465
"Hamilton, Ontario",20.744220000441643,6.507735892436608,19.211459850127234,28.2001888672253,1.5847181215115094,3.2603626926179414,1.9614134126904745,60.86876325740109,10.560457645810304,15.327601503144106,5.949187702067797,0.0,21.40668413320465,80.24908651391888,16.82139317506069,16.496655855078828,25.927027627352235,76.24832273174229,9.07965546669299,9.066665973893716,51.7891077907081,18.31518484697728,5.728366324480128,59.115181729499014,47.944217922122796,3.338299649413589,59.77764586226202
"Kelowna, British Columbia",20.327180563733645,6.195437904815545,16.179821305138116,27.649061723970203,0.0,2.4064924093085174,1.792068815442513,65.48731471288497,8.39712244950206,13.210107268119096,4.556974987839533,0.0,24.116126059240674,67.58659532526049,16.999052763626125,13.875732828140599,24.372135890018175,74.85727451934154,9.113949975679066,7.270679194081053,49.40989734005786,15.20698394818361,4.710580886306034,56.27096080489491,48.846675712347356,4.096157292440029,56.014950974117404
"Kingston, Ontario",18.745247372423265,9.018939773524401,24.875768525668608,23.99155874395053,1.5326302883113363,4.303154271027982,2.1221034761233883,65.49047116591902,10.846306655741763,14.73682969530131,6.012626515682934,0.0,23.22524359979486,78.10519738509694,18.15577418461121,15.385250201894568,41.32207046562487,78.45888129778416,11.199990568428996,9.90314955524248,54.585217191396055,22.458928455639196,7.073678253744628,56.117847479707386,49.751537051337216,3.1831552141850827,62.42521058929634
"Kitchener-Cambridge-Waterloo, Ontario",17.687605160941537,8.677307958247066,20.78244637404094,25.7381098355229,0.9793801307276597,3.36906764970315,2.174223890215405,57.6267268920155,11.987612800106556,16.00307133608996,5.484528732074896,0.8618545150403407,27.03089160808341,75.98031054185185,17.805130776628854,14.886577987060429,24.03398840805677,75.98031054185185,10.871119451077025,10.322666577869535,54.453535268457884,18.666985291669196,6.659784888948087,58.44940620182674,45.6587016945235,3.290717239244937,56.43188313252776
"London, Ontario",17.12013949157535,7.591378250305929,18.26675391479864,24.059133673495612,1.087306780642776,2.4118441316076127,2.1548443470920473,59.900719006320216,11.110298376749823,15.044372001257322,5.772610544503467,0.0,24.790594598655296,75.47885979080218,17.377139276090915,14.826910645128766,30.74112807090031,78.16747292111886,9.232223028366846,9.390376741914885,51.75580275859615,18.602830556088225,6.345917756115112,57.943566801163215,46.33903806957577,3.499150912250389,58.99133515341899
"Moncton, New Brunswick",16.204598309026437,6.237753323976703,30.781956620493734,27.595278291940417,0.0,2.9832733288584232,1.5594383309941757,68.6830882303087,9.085423319705198,12.339903314823477,6.84796832306138,0.0,23.25597163178271,76.00566821932483,17.018218307806006,17.357226640630827,27.730881625070342,79.53135488070296,9.831241651919804,10.170249984744625,52.071679921892475,16.13679664246147,6.034348324281811,60.68249157564293,39.93518160676389,1.9662483303839609,52.74969658754212
"Montréal, Quebec",13.156603623886737,7.43967253576913,17.553672541206762,26.86932894895223,1.0924701863156,3.7297228759055208,2.1330356805211825,58.04674734303589,10.514407630286339,15.420636860685583,5.363484851368443,1.2086378305618288,31.402338726560398,58.681961908382284,17.22247117250475,13.638575764908326,19.81523412600037,78.80368088303229,4.6343475098229625,7.845023464628312,54.7322620040105,21.327885153206587,4.303146141120949,62.23125418790537,45.42896385629123,2.746005377820433,47.74243013319486
"Oshawa, Ontario",22.240870688900674,9.653155680946472,24.815045537153065,29.50004376097242,1.415796166538816,3.9642292663086844,3.166235063350443,70.86703357238837,13.411450959394966,17.401421974186174,6.48692061759603,0.9267029453708614,25.1754300159084,86.41504965583282,22.935897897928818,17.736064704458986,32.074218609224815,86.62098364369302,13.514417953325061,11.01746835052024,63.11876727914867,23.296282376684154,6.564145863043601,67.5463480181428,54.59824853143325,4.4533224874766395,64.19992071541468
